County,2009Dropout,2009  - High school graduate (includes equivalency),2009 - Some college or associate's degree,2009 - Bachelor's degree or higher,2010Dropout,2010  - High school graduate (includes equivalency),2010 - Some college or associate's degree,2010 - Bachelor's degree or higher,2011Dropout,2011  - High school graduate (includes equivalency),2011 - Some college or associate's degree,2011 - Bachelor's degree or higher,2012Dropout,2012  - High school graduate (includes equivalency),2012 - Some college or associate's degree,2012 - Bachelor's degree or higher,2013Dropout,2013  - High school graduate (includes equivalency),2013 - Some college or associate's degree,2013 - Bachelor's degree or higher,2014Dropout,2014  - High school graduate (includes equivalency),2014 - Some college or associate's degree,2014 - Bachelor's degree or higher,2015Dropout,2015  - High school graduate (includes equivalency),2015 - Some college or associate's degree,2015 - Bachelor's degree or higher,2016Dropout,2016  - High school graduate (includes equivalency),2016 - Some college or associate's degree,2016 - Bachelor's degree or higher,2017Dropout,2017  - High school graduate (includes equivalency),2017 - Some college or associate's degree,2017 - Bachelor's degree or higher
Lake,19.2,8.9,5.2,3.4,19.4,9.4,6.4,3.6,20.3,10.6,7.3,3.1,23.1,11.7,8.4,3.9,22.4,12.6,9.6,3.8,22.9,13.4,10,4.6,23.1,14,9.2,4.7,22.5,13.9,8.4,5.1,20.2,13.3,8.4,5.4
Marion,17,11.9,9.2,5.1,20.3,13.2,9.6,5.8,23.8,13,11,6.1,24.6,13.4,11.8,5.8,26.5,15.1,12.1,5.9,27,15.3,12.2,6,27.4,15.3,12.6,5.6,26.1,16.3,12.6,5.3,27.5,16.3,11.8,5.5
Orange,20.7,11.4,8.2,4.3,21.2,12.3,8.8,4.6,22.8,14,9.7,4.9,25.6,15,10.6,5.1,26.7,15.9,11.3,5.5,27.9,16.6,12.3,6,28.1,17,12.4,5.9,27.1,16.8,12.2,6.2,25.4,17.1,12,6.3
Osceola,20.9,11.5,7.5,4.4,20.3,12.6,7.7,4.7,19.1,13.7,9.1,4.3,22,14.9,10.9,4.8,24.5,15.8,12.8,5.7,25.6,15.6,13.6,6.7,26.9,15.6,14.2,8.4,27.6,15.4,14.3,8.7,23.8,14.8,13.4,9
Polk,22.9,11.3,7.4,3.6,23.2,11.8,8.6,4.1,25.1,12.7,9.4,4,25.5,14.3,10.1,4.1,26.5,15.4,10.8,4.8,26.6,15.8,10.9,5.1,27.2,15.4,11,5.1,27,15.2,11.1,5.1,26.7,15.1,10.6,5.3
Seminole,20.2,9.8,6.9,3.1,23.5,10.6,7,3.2,23.8,11.3,7.1,2.8,24.3,11.1,7,2.9,25.1,13.4,7.9,3,28.3,13.2,8.2,2.8,26.7,13.6,8.3,2.9,26.4,12.4,8.7,2.8,27.7,11.6,8.4,2.4
Sumter,27.8,10.5,6.1,5,20,7.9,7,3.5,22,8.7,8,2.5,22.2,9.7,8.5,2.9,21.8,10.4,8.6,4.3,21.4,9.7,7.6,5,22.9,10.6,7.2,4.6,19.7,9.9,7.3,4.7,18.2,9.8,7.1,4.5
Broward,21.9,12.6,7.4,4.6,22.4,13.6,7.9,4.8,23.6,14.4,8.5,5.3,24.7,14.8,9.2,5.9,25.6,15.6,10.1,6.3,26.5,15.6,10.3,6.6,26.8,15.5,10.2,6.6,26,15.5,10.3,6.6,25.6,15.1,10,6.5
Indian River,20.3,10.7,8.3,4.4,22.2,11.3,8.4,5,22.2,13,8.8,5,27.8,12.7,10,5,28,13.5,10.2,4.6,28.8,13.7,9.9,4.9,28.5,13.3,9.4,4.5,25.8,12.6,10.1,5.1,21.2,12,9.4,5.4
Martin,19.8,11.9,6.5,2.6,22,11.5,6.7,2.5,24.4,11.2,7.2,2.6,27.6,11.6,9.1,3.2,30.4,11.5,9.2,3.8,28.6,10.6,8.5,4.1,28.8,10.1,8.6,4.5,28.1,10.3,8.9,4.6,25.9,10.7,8,4.7
Okeechobee,28.9,10.9,5.7,3.5,32.6,10.6,6.3,4.2,34.9,12.8,8.7,5.9,38.8,16.6,10.9,4.7,36.2,18.5,11.8,6.1,36.1,20.8,16.9,5.3,32.5,23.6,15.9,6.6,30.5,21.2,16.7,6.2,26.5,19.7,14.6,6.2
Palm Beach,22.1,10.8,7.4,4.5,23.3,11.7,7.9,4.6,25.5,12.5,8.7,4.9,27.5,13,9.5,5.2,27.3,14,10.3,5.2,27.3,14.1,10.2,5.5,27.8,14.1,10.2,5.8,26.5,14,9.6,5.5,25.9,13.8,9.2,5.6
St. Lucie,18.9,10.4,6,3.3,21.7,10.3,6.6,3.3,20.4,10.6,6.9,3.6,21.1,10.8,8,3.9,22.5,11.1,8.8,4.1,23.1,11.8,9.7,4.3,22,12.7,9.8,4.6,20.7,12.7,10.3,5,20.5,13.2,10.2,5.5
Charlotte,13.9,9,7.2,4.2,16.1,10.1,8.6,4.2,18.1,11,8.9,4.8,19.6,11.5,9.7,4.8,21.5,11.5,10.4,5.9,19.9,11.2,11.3,5.7,19.9,11.3,10.5,5.4,20.5,11.3,10.6,5.3,20.5,10.6,10.6,5.3
Collier,19.6,8.1,6.6,3.5,23.3,9,7.2,3.9,26.4,10.5,8,4.2,28.4,10.8,7.9,4.7,29.3,11.3,8,5.2,28.3,12.5,7.4,5.3,27.9,12.7,7.8,5.2,26.3,12.8,7.4,5.3,25.7,12,7.4,5.1
Desoto,26.9,13.1,8.6,12.2,32.4,18.8,11.5,14.9,31.5,23,13.5,10.8,35.1,22.9,12.9,11.7,39.9,22.3,15.5,10.5,38.1,23.1,17.2,10.7,41.5,21.8,18.4,10.4,40.3,22,16.6,8.2,40.6,23.1,16.4,8.4
Glades,27.6,9.3,8.9,2.8,28.2,10.7,9.5,3.9,30.8,12.8,7.1,2.7,28.2,20.7,12.5,3.4,24.5,22.6,12.3,3.1,24.3,22.6,12.6,3.4,21.4,20.8,11.7,2.2,20.8,22,14.3,2.1,20.4,17.5,13.4,5
